Report_Data_Extracted,PHU_Num,PHU,LTC_Home,LTCH_Num,City,Beds,Total_LTC_Resident_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Cases
4/24/2020,2246,Niagara,"Albright Gardens Homes, Incorporated",2983,Beamsville,231,<5,0,<5
4/24/2020,2243,"Leeds,Grenville,Lanark",Almonte Country Haven,2692,Almonte,82,44,25,17
4/24/2020,3895,Toronto,Altamont Care Community,956,Scarborough,159,125,32,45
4/24/2020,2227,Brant,Anson Place Care Centre,2786,Hagersville,61,28,23,33
4/24/2020,2230,Durham,Bay Ridges,2895,Pickering,124,0,0,<5
4/24/2020,3895,Toronto,Belmont House,2985,Toronto,140,0,0,<5
4/24/2020,3895,Toronto,Bendale Acres,M504,Scarborough,302,0,0,<5
4/24/2020,2270,York Region,Bethany Lodge,2986,Markham,128,<5,<5,<5
4/24/2020,2260,Simcoe-Muskoka,Bradford Valley Care Community,2905,Bradford,246,20,7,10
4/24/2020,2253,Peel,Burton Manor,2953,Brampton,128,22,0,8
4/24/2020,2253,Peel,Camilla Care Community,2472,Mississauga,236,114,7,29
4/24/2020,2266,Wellington-Dufferin-Guelph,Caressant Care Fergus Nursing Home,2603,Fergus,87,<5,0,0
4/24/2020,4913,South West,Caressant Care on Bonnie Place,2730,St Thomas,116,0,0,<5
4/24/2020,2251,Ottawa,Carlingview Manor,2420,Ottawa,303,32,<5,5
4/24/2020,3895,Toronto,Castleview Wychwood Towers,M510,Toronto,456,0,0,<5
4/24/2020,3895,Toronto,Cedarvale Terrace,2591,Toronto,218,0,0,<5
4/24/2020,2258,Eastern Ontario,Centre d'Accueil Roger Seguin,2988,Clarence Creek,113,0,0,<5
4/24/2020,2270,York Region,Chartwell Aurora Long Term Care Residence,2630,Aurora,235,25,<5,<5
4/24/2020,2230,Durham,Chartwell Ballycliffe Long Term Care Residence,2658,Ajax,100,53,18,28
4/24/2020,3895,Toronto,Chartwell Gibson Long Term Care Residence,2556,North York,202,30,8,6
4/24/2020,2270,York Region,Chartwell Pine Grove Long Term Care Residence,2808,Woodbridge,96,0,0,<5
4/24/2020,2236,Halton,Chartwell Waterford Long Term Care Residence,2908,Oakville,168,0,0,<5
4/24/2020,3895,Toronto,Chartwell Westbury Long Term Care Residence,2943,Etobicoke,187,48,12,19
4/24/2020,3895,Toronto,Chartwell White Eagle Long Term Care Residence,2583,Toronto,56,8,<5,<5
