Report_Data_Extracted,PHU_Num,PHU,LTC_Homes_with_Active_Outbreak,LTC_Homes_with_Resolved_Outbreak,Confirmed_Active_LTC_Resident_Cases,Confirmed_Active_LTC_HCW_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Deaths
2020-04-24,2226,Algoma,0,0,0,0,0,0
2020-04-24,2227,Brant,2,0,28,34,23,0
2020-04-24,2230,Durham,7,1,243,88,71,0
2020-04-24,2233,Grey-Bruce,2,0,22,7,0,0
2020-04-24,2234,Haldimand-Norfolk,0,1,0,0,0,0
2020-04-24,2235,Haliburton Kawartha Pr,1,0,33,32,29,0
2020-04-24,2236,Halton,4,1,2,4,0,0
2020-04-24,2237,Hamilton,3,2,13,3,4,0
2020-04-24,2238,Hastings Prince Edward,2,1,10,5,0,0
2020-04-24,2240,Chatham-Kent,0,0,0,0,0,0
2020-04-24,2241,Kingston Frontenac L & A,1,0,1,0,0,0
2020-04-24,2242,Lambton,2,0,0,3,0,0
2020-04-24,2243,"Leeds,Grenville,Lanark",3,0,94,32,30,0
2020-04-24,2244,Middlesex-London,4,3,15,10,8,0
2020-04-24,2246,Niagara,4,3,44,30,10,0
2020-04-24,2247,North Bay-Parry Sound,0,0,0,0,0,0
2020-04-24,2249,Northwestern,0,0,0,0,0,0
2020-04-24,2251,Ottawa,11,1,145,76,33,0
2020-04-24,2253,Peel,14,0,296,112,29,0
2020-04-24,2255,Peterborough,1,1,4,2,0,0
2020-04-24,2256,Porcupine,0,1,0,0,0,0
2020-04-24,2257,Renfrew,0,1,0,0,0,0
2020-04-24,2258,Eastern Ontario,4,0,0,6,0,0
2020-04-24,2260,Simcoe-Muskoka,3,1,20,12,7,0
2020-04-24,2261,Sudbury,1,0,1,1,0,0
2020-04-24,2262,Thunder Bay,0,0,0,0,0,0
2020-04-24,2263,Timiskaming,0,0,0,0,0,0
2020-04-24,2265,Waterloo,5,3,165,90,27,0
2020-04-24,2266,Wellington-Dufferin-Guelph,4,1,22,10,6,0
2020-04-24,2268,Windsor-Essex,4,3,68,27,20,0
2020-04-24,2270,York Region,12,1,140,59,34,0
2020-04-24,3895,Toronto,49,5,1086,469,292,1
2020-04-24,4913,South West,1,0,0,1,0,0
2020-04-24,5183,Huron Perth,1,1,3,7,2,0
2020-04-25,2226,Algoma,0,0,0,0,0,0
2020-04-25,2227,Brant,2,0,28,34,23,0
2020-04-25,2230,Durham,7,1,224,88,75,0
2020-04-25,2233,Grey-Bruce,2,0,22,7,0,0
2020-04-25,2234,Haldimand-Norfolk,0,1,0,0,0,0
2020-04-25,2235,Haliburton Kawartha Pr,1,0,33,32,29,0
2020-04-25,2236,Halton,4,1,2,4,0,0
2020-04-25,2237,Hamilton,3,2,13,3,4,0
2020-04-25,2238,Hastings Prince Edward,2,1,10,5,0,0
2020-04-25,2240,Chatham-Kent,0,0,0,0,0,0
2020-04-25,2241,Kingston Frontenac L & A,1,0,1,0,0,0
2020-04-25,2242,Lambton,2,0,0,3,0,0
2020-04-25,2243,"Leeds,Grenville,Lanark",3,0,94,32,30,0
2020-04-25,2244,Middlesex-London,4,3,15,10,8,0
2020-04-25,2246,Niagara,4,3,44,30,10,0
2020-04-25,2247,North Bay-Parry Sound,0,0,0,0,0,0
2020-04-25,2249,Northwestern,0,0,0,0,0,0
2020-04-25,2251,Ottawa,11,1,172,94,34,0
2020-04-25,2253,Peel,14,0,298,113,29,0
2020-04-25,2255,Peterborough,1,1,4,2,0,0
2020-04-25,2256,Porcupine,0,1,0,0,0,0
2020-04-25,2257,Renfrew,0,1,0,0,0,0
2020-04-25,2258,Eastern Ontario,3,1,8,5,0,0
2020-04-25,2260,Simcoe-Muskoka,4,1,20,13,7,0
2020-04-25,2261,Sudbury,1,0,1,1,0,0
2020-04-25,2262,Thunder Bay,0,0,0,0,0,0
2020-04-25,2263,Timiskaming,0,0,0,0,0,0
2020-04-25,2265,Waterloo,5,3,161,90,31,0
2020-04-25,2266,Wellington-Dufferin-Guelph,5,1,22,11,6,0
2020-04-25,2268,Windsor-Essex,4,3,68,27,20,0
2020-04-25,2270,York Region,12,1,155,68,39,0
2020-04-25,3895,Toronto,50,4,1122,481,307,1
2020-04-25,4913,South West,1,0,0,1,0,0
2020-04-25,5183,Huron Perth,1,1,3,7,2,0
2020-04-26,2226,Algoma,0,0,0,0,0,0
2020-04-26,2227,Brant,2,0,28,34,23,0
2020-04-26,2230,Durham,7,1,224,103,80,0
2020-04-26,2233,Grey-Bruce,2,0,22,7,0,0
2020-04-26,2234,Haldimand-Norfolk,1,1,0,1,0,0
2020-04-26,2235,Haliburton Kawartha Pr,1,0,33,32,29,0
2020-04-26,2236,Halton,4,1,2,4,0,0
2020-04-26,2237,Hamilton,3,2,13,3,4,0
2020-04-26,2238,Hastings Prince Edward,2,1,10,5,0,0
2020-04-26,2240,Chatham-Kent,0,0,0,0,0,0
2020-04-26,2241,Kingston Frontenac L & A,1,0,1,0,0,0
2020-04-26,2242,Lambton,2,0,0,3,0,0
2020-04-26,2243,"Leeds,Grenville,Lanark",3,0,94,32,30,0
2020-04-26,2244,Middlesex-London,5,3,16,10,8,0
2020-04-26,2246,Niagara,4,3,44,30,10,0
2020-04-26,2247,North Bay-Parry Sound,0,0,0,0,0,0
2020-04-26,2249,Northwestern,0,0,0,0,0,0
2020-04-26,2251,Ottawa,10,2,171,91,37,0
2020-04-26,2253,Peel,14,0,300,113,30,0
2020-04-26,2255,Peterborough,1,1,4,2,0,0
2020-04-26,2256,Porcupine,0,1,0,0,0,0
2020-04-26,2257,Renfrew,0,1,0,0,0,0
2020-04-26,2258,Eastern Ontario,3,1,8,5,0,0
2020-04-26,2260,Simcoe-Muskoka,4,1,20,13,7,0
2020-04-26,2261,Sudbury,1,0,1,1,0,0
2020-04-26,2262,Thunder Bay,0,0,0,0,0,0
2020-04-26,2263,Timiskaming,0,0,0,0,0,0
2020-04-26,2265,Waterloo,5,3,161,90,31,0
2020-04-26,2266,Wellington-Dufferin-Guelph,5,1,22,11,6,0
2020-04-26,2268,Windsor-Essex,4,3,68,27,20,0
2020-04-26,2270,York Region,12,1,153,68,44,0
2020-04-26,3895,Toronto,52,4,1125,494,310,1
2020-04-26,4913,South West,1,0,0,1,0,0
2020-04-26,5183,Huron Perth,1,1,3,7,2,0
2020-04-27,2226,Algoma,0,0,0,0,0,0
2020-04-27,2227,Brant,3,0,29,34,23,0
2020-04-27,2230,Durham,7,1,213,103,83,0
2020-04-27,2233,Grey-Bruce,2,0,22,7,0,0
2020-04-27,2234,Haldimand-Norfolk,2,1,0,4,0,0
2020-04-27,2235,Haliburton Kawartha Pr,2,0,39,38,29,0
2020-04-27,2236,Halton,4,1,2,4,0,0
2020-04-27,2237,Hamilton,3,2,14,4,6,0
2020-04-27,2238,Hastings Prince Edward,2,1,10,5,0,0
2020-04-27,2240,Chatham-Kent,0,0,0,0,0,0
2020-04-27,2241,Kingston Frontenac L & A,0,1,0,0,0,0
2020-04-27,2242,Lambton,2,0,3,3,0,0
2020-04-27,2243,"Leeds,Grenville,Lanark",2,0,95,29,31,0
2020-04-27,2244,Middlesex-London,5,3,15,10,9,0
2020-04-27,2246,Niagara,3,4,42,29,11,0
2020-04-27,2247,North Bay-Parry Sound,0,0,0,0,0,0
2020-04-27,2249,Northwestern,0,0,0,0,0,0
2020-04-27,2251,Ottawa,11,1,172,92,37,0
2020-04-27,2253,Peel,14,0,301,113,30,0
2020-04-27,2255,Peterborough,2,1,4,3,0,0
2020-04-27,2256,Porcupine,0,1,0,0,0,0
2020-04-27,2257,Renfrew,0,1,0,0,0,0
2020-04-27,2258,Eastern Ontario,3,1,8,5,0,0
2020-04-27,2260,Simcoe-Muskoka,4,1,20,13,7,0
2020-04-27,2261,Sudbury,2,0,2,1,0,0
2020-04-27,2262,Thunder Bay,0,0,0,0,0,0
2020-04-27,2263,Timiskaming,0,0,0,0,0,0
2020-04-27,2265,Waterloo,5,3,180,93,38,0
2020-04-27,2266,Wellington-Dufferin-Guelph,6,1,21,12,6,0
2020-04-27,2268,Windsor-Essex,3,4,65,29,22,0
2020-04-27,2270,York Region,12,1,154,71,46,0
2020-04-27,3895,Toronto,52,4,1076,495,325,1
2020-04-27,4913,South West,1,0,0,1,0,0
2020-04-27,5183,Huron Perth,2,1,4,7,2,0
2020-04-28,2226,Algoma,0,0,0,0,0,0
2020-04-28,2227,Brant,3,0,29,34,23,0
2020-04-28,2230,Durham,7,1,212,104,84,0
2020-04-28,2233,Grey-Bruce,2,0,22,9,0,0
2020-04-28,2234,Haldimand-Norfolk,2,1,0,4,0,0
2020-04-28,2235,Haliburton Kawartha Pr,2,0,39,38,29,0
2020-04-28,2236,Halton,4,1,2,4,0,0
2020-04-28,2237,Hamilton,3,3,5,2,6,0
2020-04-28,2238,Hastings Prince Edward,2,1,9,6,1,0
2020-04-28,2240,Chatham-Kent,0,0,0,0,0,0
2020-04-28,2241,Kingston Frontenac L & A,0,1,0,0,0,0
2020-04-28,2242,Lambton,3,0,3,4,0,0
2020-04-28,2243,"Leeds,Grenville,Lanark",2,0,95,29,31,0
2020-04-28,2244,Middlesex-London,5,3,15,10,9,0
2020-04-28,2246,Niagara,3,4,42,29,11,0
2020-04-28,2247,North Bay-Parry Sound,0,0,0,0,0,0
2020-04-28,2249,Northwestern,0,0,0,0,0,0
2020-04-28,2251,Ottawa,11,1,280,162,63,0
2020-04-28,2253,Peel,14,0,302,120,32,0
2020-04-28,2255,Peterborough,2,1,4,3,0,0
2020-04-28,2256,Porcupine,0,1,0,0,0,0
2020-04-28,2257,Renfrew,0,1,0,0,0,0
2020-04-28,2258,Eastern Ontario,2,1,8,4,0,0
2020-04-28,2260,Simcoe-Muskoka,4,1,20,14,7,0
2020-04-28,2261,Sudbury,2,0,4,5,0,0
2020-04-28,2262,Thunder Bay,0,0,0,0,0,0
2020-04-28,2263,Timiskaming,0,0,0,0,0,0
2020-04-28,2265,Waterloo,6,4,191,96,45,0
2020-04-28,2266,Wellington-Dufferin-Guelph,6,1,21,12,6,0
2020-04-28,2268,Windsor-Essex,5,2,65,34,31,0
2020-04-28,2270,York Region,13,1,162,71,46,0
2020-04-28,3895,Toronto,53,4,1098,559,349,1
2020-04-28,4913,South West,1,0,0,1,0,0
2020-04-28,5183,Huron Perth,2,1,4,7,2,0
2020-04-29,2226,Algoma,0,0,0,0,0,0
2020-04-29,2227,Brant,3,0,29,33,23,0
2020-04-29,2230,Durham,7,1,212,108,90,0
2020-04-29,2233,Grey-Bruce,2,0,22,9,0,0
2020-04-29,2234,Haldimand-Norfolk,2,1,0,4,0,0
2020-04-29,2235,Haliburton Kawartha Pr,2,0,39,38,29,0
2020-04-29,2236,Halton,4,1,2,4,0,0
2020-04-29,2237,Hamilton,3,3,5,4,6,0
2020-04-29,2238,Hastings Prince Edward,3,1,20,6,2,0
