Case_Reported_Date,Reporting_PHU_ID,Reporting_PHU,Number_of_Cases
2020-01-23,3895,Toronto Public Health,2
2020-01-24,2244,Middlesex-London Health Unit,1
2020-02-21,3895,Toronto Public Health,1
2020-02-25,3895,Toronto Public Health,1
2020-02-26,3895,Toronto Public Health,1
2020-02-27,2270,York Region Public Health Services,1
2020-02-27,3895,Toronto Public Health,1
2020-02-28,2230,Durham Region Health Department,2
2020-02-28,2270,York Region Public Health Services,2
2020-02-28,3895,Toronto Public Health,1
2020-02-29,2270,York Region Public Health Services,3
2020-02-29,3895,Toronto Public Health,1
2020-03-01,3895,Toronto Public Health,2
2020-03-03,2265,"Region of Waterloo, Public Health",1
2020-03-03,3895,Toronto Public Health,1
2020-03-04,3895,Toronto Public Health,1
2020-03-05,2253,Peel Public Health,2
2020-03-05,3895,Toronto Public Health,2
2020-03-06,2270,York Region Public Health Services,1
2020-03-06,3895,Toronto Public Health,2
2020-03-07,2270,York Region Public Health Services,1
2020-03-07,3895,Toronto Public Health,2
2020-03-08,2236,Halton Region Health Department,1
2020-03-08,3895,Toronto Public Health,4
2020-03-09,2251,Ottawa Public Health,1
2020-03-09,2253,Peel Public Health,2
2020-03-09,2270,York Region Public Health Services,1
2020-03-09,3895,Toronto Public Health,2
2020-03-10,2237,Hamilton Public Health Services,1
2020-03-10,2261,Sudbury & District Health Unit,1
2020-03-10,2265,"Region of Waterloo, Public Health",2
2020-03-10,2270,York Region Public Health Services,1
2020-03-10,3895,Toronto Public Health,4
2020-03-11,2236,Halton Region Health Department,3
2020-03-11,2253,Peel Public Health,3
2020-03-11,2260,Simcoe Muskoka District Health Unit,1
2020-03-11,2261,Sudbury & District Health Unit,1
2020-03-11,2265,"Region of Waterloo, Public Health",4
2020-03-11,2270,York Region Public Health Services,1
2020-03-11,3895,Toronto Public Health,10
2020-03-12,2236,Halton Region Health Department,1
2020-03-12,2244,Middlesex-London Health Unit,1
2020-03-12,2246,Niagara Region Public Health Department,1
2020-03-12,2251,Ottawa Public Health,3
2020-03-12,2253,Peel Public Health,2
2020-03-12,2258,Eastern Ontario Health Unit,1
2020-03-12,2265,"Region of Waterloo, Public Health",2
2020-03-12,2270,York Region Public Health Services,2
2020-03-12,3895,Toronto Public Health,24
2020-03-13,2230,Durham Region Health Department,2
2020-03-13,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-03-13,2236,Halton Region Health Department,6
2020-03-13,2237,Hamilton Public Health Services,5
2020-03-13,2249,Northwestern Health Unit,1
2020-03-13,2251,Ottawa Public Health,1
2020-03-13,2253,Peel Public Health,4
2020-03-13,2260,Simcoe Muskoka District Health Unit,1
2020-03-13,2265,"Region of Waterloo, Public Health",1
2020-03-13,3895,Toronto Public Health,13
2020-03-13,5183,Huron Perth District Health Unit,1
2020-03-14,2227,Brant County Health Unit,1
2020-03-14,2230,Durham Region Health Department,6
2020-03-14,2235,"Haliburton, Kawartha, Pine Ridge District Health Unit",1
2020-03-14,2237,Hamilton Public Health Services,2
2020-03-14,2246,Niagara Region Public Health Department,1
2020-03-14,2251,Ottawa Public Health,4
2020-03-14,2253,Peel Public Health,2
2020-03-14,2260,Simcoe Muskoka District Health Unit,1
2020-03-14,2265,"Region of Waterloo, Public Health",1
2020-03-14,2270,York Region Public Health Services,5
2020-03-14,3895,Toronto Public Health,8
