Report_Date,Beds,Total_LTC_Resident_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Cases,1st_dose_staff_vac_rate,2nd_dose_staff_vac_rate,phu_ACTIVE_CASES,phu_RESOLVED_CASES,phu_DEATHS,phu_TOTAL_CASES,phu_CASE_FATALITY_RATE,phu_Daily_New_Cases,phu_1st_dose,phu_fully_vac,LTC_Mortality_Rate
2021-08-01,129.0,1,0,1,0.87,0.84,152,21091,393,21243,0.018500211834486656,14,0.7693364229375512,0.6626616160487677,0.0
2021-08-01,90.0,5,0,7,0.56,0.51,417,162179,3460,162596,0.02127973627887525,40,0.787885995076346,0.6940523438899812,0.0
2021-08-01,425.0,0,9,0,0.81,0.73,152,21091,393,21243,0.018500211834486656,14,0.7693364229375512,0.6626616160487677,0.021176470588235293
2021-08-01,144.0,1,6,0,0.97,0.95,85,17305,217,17390,0.012478435882691203,5,0.8427416287253123,0.7180341672050019,0.041666666666666664
2021-08-03,129.0,1,0,1,0.87,0.84,139,21125,393,21264,0.018481941309255078,5,0.7703077293117657,0.6671074128157238,0.0
2021-08-03,90.0,5,1,10,0.56,0.51,451,162232,3461,162683,0.021274503174886127,45,0.7888102233316397,0.6972734591491356,0.011111111111111112
2021-08-03,94.0,0,0,1,0.85,0.84,32,12184,247,12216,0.02021938441388343,0,0.7968081752473687,0.6696830269812106,0.0
2021-08-03,425.0,0,9,0,0.81,0.73,139,21125,393,21264,0.018481941309255078,5,0.7703077293117657,0.6671074128157238,0.021176470588235293
2021-08-03,144.0,1,6,0,0.97,0.95,92,17316,217,17408,0.012465533088235295,6,0.8433444352895212,0.7303501177890473,0.041666666666666664
2021-08-04,129.0,1,0,0,0.87,0.84,144,21132,393,21276,0.01847151720248167,12,0.771128542343832,0.6696539704612456,0.0
2021-08-04,90.0,1,1,9,0.56,0.51,445,162264,3461,162709,0.021271103626720095,26,0.7896797170494403,0.6998531003556517,0.011111111111111112
2021-08-04,94.0,0,0,1,0.85,0.84,30,12189,247,12219,0.02021442016531631,3,0.7979406832001199,0.6753313538670657,0.0
2021-08-04,144.0,1,6,0,0.97,0.95,88,17320,217,17408,0.012465533088235295,0,0.843891151831178,0.7361512444893165,0.041666666666666664
2021-08-05,129.0,1,0,0,0.87,0.84,137,21156,394,21293,0.01850373362137792,18,0.7722063112570334,0.6726598942472113,0.0
2021-08-05,90.0,1,1,9,0.56,0.51,444,162309,3461,162753,0.021265353019606397,44,0.7904742269053388,0.7022887872740973,0.011111111111111112
2021-08-05,94.0,0,0,1,0.85,0.84,31,12193,247,12224,0.020206151832460734,5,0.7992825080819592,0.6817820623144251,0.0
2021-08-05,144.0,1,6,0,0.97,0.95,83,17336,217,17419,0.012457661174579483,11,0.844606138440491,0.7417028672961643,0.041666666666666664
2021-08-06,129.0,1,0,0,0.87,0.84,133,21175,394,21308,0.01849070771541205,15,0.7730047802994358,0.6753911183955438,0.0
2021-08-06,90.0,1,1,9,0.56,0.51,497,162334,3463,162831,0.02126744907296522,80,0.7912927905041713,0.7046404088154513,0.011111111111111112
2021-08-06,94.0,0,0,1,0.85,0.84,34,12197,247,12231,0.020194587523505846,7,0.8002360629811383,0.6862739777710589,0.0
2021-08-06,144.0,1,6,0,0.97,0.95,86,17340,217,17426,0.012452656949385976,7,0.8451509208434392,0.746791586238732,0.041666666666666664
2021-08-08,129.0,1,0,0,0.87,0.84,157,21221,396,21378,0.018523715969688465,42,0.774735782322224,0.6813234476513181,0.0
2021-08-08,90.0,1,1,9,0.56,0.51,623,162408,3466,163031,0.021259760413663658,109,0.7929075820833977,0.7102488580608265,0.011111111111111112
2021-08-08,94.0,0,0,1,0.85,0.84,44,12205,247,12249,0.02016491142134052,8,0.8021664302160616,0.6968328539717241,0.0
2021-08-08,144.0,1,6,0,0.97,0.95,96,17352,217,17448,0.012436955524988537,17,0.846205671152579,0.7582010704813039,0.041666666666666664
2021-08-09,90.0,1,1,10,0.56,0.51,690,162431,3466,163121,0.02124803060304927,90,0.7933587124865925,0.7119608463972157,0.011111111111111112
2021-08-09,94.0,0,0,1,0.85,0.84,52,12207,247,12259,0.02014846235418876,10,0.8026587126233613,0.698864003431764,0.0
2021-08-09,144.0,0,6,0,0.97,0.95,106,17354,217,17460,0.01242840778923253,12,0.8466318263813941,0.7628146360144364,0.041666666666666664
2021-08-10,90.0,1,1,10,0.56,0.51,753,162464,3466,163217,0.021235533063345118,96,0.7940322172887505,0.7141021204110736,0.011111111111111112
2021-08-10,94.0,0,0,1,0.85,0.84,66,12208,247,12274,0.020123839009287926,15,0.803696898750042,0.702030891044078,0.0
2021-08-10,144.0,0,6,0,0.97,0.95,113,17363,217,17476,0.012417029068436712,16,0.8473300504552318,0.7671090686606348,0.041666666666666664
2021-08-11,187.0,1,25,1,0.94,0.92,774,162514,3467,163288,0.02123242369310666,72,0.7947000768247096,0.7161844872993783,0.13368983957219252
2021-08-11,90.0,1,1,7,0.56,0.51,774,162514,3467,163288,0.02123242369310666,72,0.7947000768247096,0.7161844872993783,0.011111111111111112
2021-08-11,144.0,0,6,0,0.97,0.95,116,17377,217,17493,0.012404961984793917,17,0.8460496506300779,0.7694519553497632,0.041666666666666664
2021-08-12,187.0,1,25,1,0.94,0.92,830,162563,3467,163393,0.021218779262269498,105,0.7953814359102747,0.7183397517555551,0.13368983957219252
2021-08-12,90.0,1,1,7,0.56,0.51,830,162563,3467,163393,0.021218779262269498,105,0.7953814359102747,0.7183397517555551,0.011111111111111112
2021-08-12,101.0,0,1,1,0.91,0.88,38,15935,420,15973,0.02629437175233206,8,0.8186477049922279,0.7254912476141491,0.009900990099009901
2021-08-13,187.0,1,25,1,0.94,0.92,899,162623,3467,163522,0.02120204009246462,129,0.7961776638906684,0.7205016432633565,0.13368983957219252
2021-08-13,90.0,1,1,1,0.56,0.51,899,162623,3467,163522,0.02120204009246462,129,0.7961776638906684,0.7205016432633565,0.011111111111111112
2021-08-15,187.0,1,25,1,0.94,0.92,1073,162717,3468,163790,0.021173453812809086,116,0.797756129409137,0.7251685602853069,0.13368983957219252
2021-08-15,90.0,1,1,1,0.56,0.51,1073,162717,3468,163790,0.021173453812809086,116,0.797756129409137,0.7251685602853069,0.011111111111111112
2021-08-16,187.0,0,25,0,0.94,0.92,1138,162780,3468,163918,0.021156919923376323,128,0.7982549991286655,0.7266193936984102,0.13368983957219252
2021-08-16,90.0,1,1,1,0.56,0.51,1138,162780,3468,163918,0.021156919923376323,128,0.7982549991286655,0.7266193936984102,0.011111111111111112
2021-08-17,187.0,0,25,0,0.94,0.92,1157,162845,3469,164002,0.02115218107096255,85,0.799050122600455,0.7285136259544795,0.13368983957219252
