Report_Data_Extracted,PHU_Num,PHU,LTC_Home,LTCH_Num,City,Beds,Total_LTC_Resident_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Cases,1st_dose_staff_vac_rate,2nd_dose_staff_vac_rate,FILE_DATE,PHU_NAME,PHU_NUM,ACTIVE_CASES,RESOLVED_CASES,DEATHS,TOTAL_CASES,CASE_FATALITY_RATE,Daily_New_Cases,Date,PHU ID,Percent_at_least_one_dose,Percent_fully_vaccinated,Percent_3doses
2021-08-01,2237,Hamilton,Arbour Creek Long-Term Care Centre,2930,Hamilton,129.0,<5,0,<5,0.87,0.84,2021-08-01,CITY OF HAMILTON,2237.0,152,21091,393,21243,0.018500211834486656,14,2021-08-01,2237,0.7693364229375512,0.6626616160487677,0.0
2021-08-01,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,5,0,7,0.56,0.51,2021-08-01,TORONTO,3895.0,417,162179,3460,162596,0.02127973627887525,40,2021-08-01,3895,0.787885995076346,0.6940523438899812,0.0
2021-08-01,2237,Hamilton,"St. Joseph's Villa, Dundas",2975,Dundas,425.0,0,9,0,0.81,0.73,2021-08-01,CITY OF HAMILTON,2237.0,152,21091,393,21243,0.018500211834486656,14,2021-08-01,2237,0.7693364229375512,0.6626616160487677,0.0
2021-08-01,2236,Halton,The Village of Tansley Woods,2854,Burlington,144.0,<5,6,0,0.97,0.95,2021-08-01,HALTON REGION,2236.0,85,17305,217,17390,0.012478435882691203,5,2021-08-01,2236,0.8427416287253123,0.7180341672050019,0.0
2021-08-03,2237,Hamilton,Arbour Creek Long-Term Care Centre,2930,Hamilton,129.0,<5,0,<5,0.87,0.84,2021-08-03,CITY OF HAMILTON,2237.0,139,21125,393,21264,0.018481941309255078,5,2021-08-03,2237,0.7703077293117657,0.6671074128157238,0.0
2021-08-03,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,5,<5,10,0.56,0.51,2021-08-03,TORONTO,3895.0,451,162232,3461,162683,0.021274503174886127,45,2021-08-03,3895,0.7888102233316397,0.6972734591491356,0.0
2021-08-03,2260,Simcoe-Muskoka,Oak Terrace,2593,Orillia,94.0,0,0,<5,0.85,0.84,2021-08-03,SIMCOE MUSKOKA DISTRICT,2260.0,32,12184,247,12216,0.02021938441388343,0,2021-08-03,2260,0.7968081752473687,0.6696830269812106,0.0
2021-08-03,2237,Hamilton,"St. Joseph's Villa, Dundas",2975,Dundas,425.0,0,9,0,0.81,0.73,2021-08-03,CITY OF HAMILTON,2237.0,139,21125,393,21264,0.018481941309255078,5,2021-08-03,2237,0.7703077293117657,0.6671074128157238,0.0
2021-08-03,2236,Halton,The Village of Tansley Woods,2854,Burlington,144.0,<5,6,0,0.97,0.95,2021-08-03,HALTON REGION,2236.0,92,17316,217,17408,0.012465533088235295,6,2021-08-03,2236,0.8433444352895212,0.7303501177890473,0.0
2021-08-04,2237,Hamilton,Arbour Creek Long-Term Care Centre,2930,Hamilton,129.0,<5,0,0,0.87,0.84,2021-08-04,CITY OF HAMILTON,2237.0,144,21132,393,21276,0.01847151720248167,12,2021-08-04,2237,0.771128542343832,0.6696539704612456,0.0
2021-08-04,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,9,0.56,0.51,2021-08-04,TORONTO,3895.0,445,162264,3461,162709,0.021271103626720095,26,2021-08-04,3895,0.7896797170494403,0.6998531003556517,0.0
2021-08-04,2260,Simcoe-Muskoka,Oak Terrace,2593,Orillia,94.0,0,0,<5,0.85,0.84,2021-08-04,SIMCOE MUSKOKA DISTRICT,2260.0,30,12189,247,12219,0.02021442016531631,3,2021-08-04,2260,0.7979406832001199,0.6753313538670657,0.0
2021-08-04,2236,Halton,The Village of Tansley Woods,2854,Burlington,144.0,<5,6,0,0.97,0.95,2021-08-04,HALTON REGION,2236.0,88,17320,217,17408,0.012465533088235295,0,2021-08-04,2236,0.843891151831178,0.7361512444893165,0.0
2021-08-05,2237,Hamilton,Arbour Creek Long-Term Care Centre,2930,Hamilton,129.0,<5,0,0,0.87,0.84,2021-08-05,CITY OF HAMILTON,2237.0,137,21156,394,21293,0.01850373362137792,18,2021-08-05,2237,0.7722063112570334,0.6726598942472113,0.0
2021-08-05,3895,Toronto,Labdara Lithuanian Nursing Home,2860,Etobicoke,90.0,<5,<5,9,0.56,0.51,2021-08-05,TORONTO,3895.0,444,162309,3461,162753,0.021265353019606397,44,2021-08-05,3895,0.7904742269053388,0.7022887872740973,0.0
2021-08-05,2260,Simcoe-Muskoka,Oak Terrace,2593,Orillia,94.0,0,0,<5,0.85,0.84,2021-08-05,SIMCOE MUSKOKA DISTRICT,2260.0,31,12193,247,12224,0.020206151832460734,5,2021-08-05,2260,0.7992825080819592,0.6817820623144251,0.0
