FILE_DATE,PHU_NAME,PHU_NUM,ACTIVE_CASES,RESOLVED_CASES,DEATHS,TOTAL_CASES,CASE_FATALITY_RATE,Date,PHU,Daily_New_Cases,Reporting_PHU_ID
2020-04-01,ALGOMA DISTRICT,2226.0,4,1,0,5,0.0,2020-04-01,Algoma_District,1.0,2226
2020-04-01,BRANT COUNTY,2227.0,10,5,0,15,0.0,2020-04-01,Brant_County,1.0,2227
2020-04-01,CHATHAM-KENT,2240.0,6,2,0,8,0.0,2020-04-01,Chatham_Kent,2.0,2240
2020-04-01,CITY OF HAMILTON,2237.0,54,48,0,102,0.0,2020-04-01,City_of_Hamilton,7.0,2237
2020-04-01,CITY OF OTTAWA,2251.0,136,55,0,191,0.0,2020-04-01,City_of_Ottawa,37.0,2251
2020-04-01,DURHAM REGION,2230.0,94,44,0,138,0.0,2020-04-01,Durham_Region,24.0,2230
2020-04-01,EASTERN ONTARIO,2258.0,10,8,0,18,0.0,2020-04-01,Eastern_Ontario,8.0,2258
2020-04-01,GREY BRUCE,2233.0,5,7,0,12,0.0,2020-04-01,Grey_Bruce,1.0,2233
2020-04-01,HALDIMAND-NORFOLK,2234.0,22,2,0,24,0.0,2020-04-01,Haldimand_Norfolk,15.0,2234
2020-04-01,"HALIBURTON, KAWARTHA, PINE RIDGE",2235.0,43,17,0,60,0.0,2020-04-01,Haliburton_Kawartha_Pine_Ridge,8.0,2235
2020-04-01,HALTON REGION,2236.0,35,29,0,64,0.0,2020-04-01,Halton_Region,27.0,2236
2020-04-01,HASTINGS & PRINCE EDWARD COUNTIES,2238.0,5,4,0,9,0.0,2020-04-01,Hastings_Prince_Edward,1.0,2238
2020-04-01,HURON PERTH,5183.0,8,2,0,10,0.0,2020-04-01,Huron_Perth,3.0,5183
2020-04-01,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241.0,39,5,0,44,0.0,2020-04-01,KFLA,11.0,2241
2020-04-01,LAMBTON COUNTY,2242.0,38,5,0,43,0.0,2020-04-01,Lambton_County,10.0,2242
2020-04-01,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243.0,23,2,0,25,0.0,2020-04-01,Leeds_Grenville_Lanark,8.0,2243
2020-04-01,MIDDLESEX-LONDON,2244.0,44,11,0,55,0.0,2020-04-01,Middlesex_London,8.0,2244
2020-04-01,NIAGARA REGION,2246.0,28,23,0,51,0.0,2020-04-01,Niagara_Region,8.0,2246
2020-04-01,NORTH BAY PARRY SOUND DISTRICT,2247.0,1,3,0,4,0.0,2020-04-01,North_Bay_Parry_Sound_District,0.0,2247
2020-04-01,NORTHWESTERN,2249.0,1,2,0,3,0.0,2020-04-01,Northwestern,0.0,2249
2020-04-01,OXFORD ELGIN-ST.THOMAS,4913.0,6,3,0,9,0.0,2020-04-01,Southwestern,2.0,4913
2020-04-01,PEEL REGION,2253.0,234,54,0,288,0.0,2020-04-01,Peel_Region,21.0,2253
2020-04-01,PETERBOROUGH COUNTY-CITY,2255.0,22,6,0,28,0.0,2020-04-01,Peterborough_County_City,1.0,2255
2020-04-01,PORCUPINE,2256.0,10,5,0,15,0.0,2020-04-01,Porcupine,5.0,2256
2020-04-01,RENFREW COUNTY AND DISTRICT,2257.0,3,1,0,4,0.0,2020-04-01,Renfrew_County_and_District,2.0,2257
2020-04-01,SIMCOE MUSKOKA DISTRICT,2260.0,38,16,0,54,0.0,2020-04-01,Simcoe_Muskoka_District,5.0,2260
2020-04-01,SUDBURY AND DISTRICT,2261.0,6,4,0,10,0.0,2020-04-01,Sudbury_and_District,2.0,2261
2020-04-01,THUNDER BAY DISTRICT,2262.0,4,0,0,4,0.0,2020-04-01,Thunder_Bay_District,1.0,2262
2020-04-01,TIMISKAMING,2263.0,0,2,0,2,0.0,2020-04-01,Timiskaming,0.0,2263
2020-04-01,TORONTO,3895.0,430,205,0,635,0.0,2020-04-01,Toronto,32.0,3895
2020-04-01,WATERLOO REGION,2265.0,67,38,0,105,0.0,2020-04-01,Waterloo_Region,13.0,2265
2020-04-01,WELLINGTON-DUFFERIN-GUELPH,2266.0,35,7,0,42,0.0,2020-04-01,Wellington_Dufferin_Guelph,14.0,2266
2020-04-01,WINDSOR-ESSEX COUNTY,2268.0,30,6,0,36,0.0,2020-04-01,Windsor_Essex_County,10.0,2268
2020-04-01,YORK REGION,2270.0,212,67,0,279,0.0,2020-04-01,York_Region,25.0,2270
2020-04-02,ALGOMA DISTRICT,2226.0,4,1,0,5,0.0,2020-04-02,Algoma_District,0.0,2226
2020-04-02,BRANT COUNTY,2227.0,13,7,0,20,0.0,2020-04-02,Brant_County,5.0,2227
