LTC_Home,Beds
Allendale,200
Chartwell Westmount Long Term Care Residence,160
Chelsey Park,247
Chester Village,203
Clarion Nursing Home,100
Douglas H. Rapelje Lodge,120
Ehatare Nursing Home,32
Extendicare Southwood Lakes,150
Extendicare Timmins,180
Garden City Manor,200
Garden Terrace,160
Hallowell House,97
Hillside Manor,90
Lakeview Manor,149
Miramichi Lodge,166
Mount Hope Centre for Long Term Care,394
Norview Lodge,179
Riverside Place,96
Riverview Manor Nursing Home,124
Rockcliffe Care Community,204
Saint Luke's Place,114
Shalom Manor Long Term Care Home,144
Spencer House,160
Sprucedale Care Centre,96
St. Andrew's Terrace Long Term Care Community,128
Tendercare Living Centre,254
The Village at St. Clair,256
Wellington Terrace Long-Term Care Home,176
Wentworth Lodge,160
Westside,242
Yee Hong Centre - Markham,200
Heartwood,118
Villa Marconi,128
"Albright Gardens Homes, Incorporated",231
Franklin Gardens Long Term Care Home,120
Providence Manor,243
Heritage Green Nursing Home,167
The Village at University Gates,192
Lambton Meadowview Villa,125
Fairview Lodge,198
Centre d'Accueil Roger Seguin,113
Winbourne Park,110
Maple View,29
Rosebridge Manor,78
Hampton Terrace Care Centre,101
The Woodlands of Sunset,121
Belmont Long Term Care Facility,128
Grace Villa Nursing Home,184
Shepherd Lodge,252
Caressant Care Fergus Nursing Home,87
Caressant Care on Bonnie Place,116
Northridge,133
"St. Joseph's Villa, Dundas",425
Woods Park Care Centre,123
Yee Hong Centre - Scarborough McNicoll,155
Chartwell Elmira Long Term Care Residence,48
IOOF Seniors Home,182
Stirling Heights,110
Sumac Lodge,100
Bay Ridges,124
Case Manor Care Community,96
Extendicare Rouge Valley,192
Moira Place Long-Term Care Home,128
Extendicare Lakefield,100
Hillsdale Terraces,200
Macassa  Lodge,270
Providence Healthcare,288
The Wexford,166
Garry J. Armstrong Home,180
Greenwood Court,45
"St. Joseph's Villa, Sudbury",128
Belmont House,140
Dom Lipa,66
Extendicare Starwood,192
Extendicare York,288
Labdara Lithuanian Nursing Home,90
McCall Centre Long Term Care Interim Unit,21
Pinehaven Nursing Home,84
Royal Terrace,67
St. Joseph's Lifecare Centre,205
Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,144
Castleview Wychwood Towers,456
Copernicus Lodge,228
Northview Nursing Home,48
Pioneer Manor,433
Post Inn Village,228
Telfer Place,45
Bendale Acres,302
Blue Water Rest Home,65
Centre d'Accueil Champlain,160
Exeter Villa,47
Pinecrest Nursing Home (Bobcaygeon),65
The Village of Riverside Glen,192
Avalon Retirement Centre,137
Bonnechere Manor,180
Fountain View Care Community,158
Gardenview Long Term Care Home,64
St. Joseph's at Fleming,200
Strathcona Long Term Care,87
Southlake Residential Care Village,224
Valleyview Residence,174
Cedarvale Terrace,218
Henley Place,192
Markhaven,96
