Date,PHU ID,PHU name,At least one dose_cumulative,Second_dose_cumulative,fully_vaccinated_cumulative,third_dose_cumulative,Total population,Percent_at_least_one_dose,Percent_fully_vaccinated,Percent_3doses
2021-07-26,2226,ALGOMA DISTRICT,241457.0,199812.0,0.0,0.0,297748,0.8109441541169042,0.6710775555167457,0.0
2021-07-26,2227,BRANT COUNTY,315645.0,261913.0,0.0,0.0,392107,0.8049971053819494,0.6679630815058135,0.0
2021-07-26,2230,DURHAM REGION,1469448.0,1217566.0,0.0,0.0,1800877,0.8159624449643146,0.6760961464886275,0.0
2021-07-26,2233,GREY BRUCE,348138.0,307082.0,0.0,0.0,437001,0.7966526392388118,0.7027031974755207,0.0
2021-07-26,2234,HALDIMAND-NORFOLK,216273.0,185410.0,0.0,0.0,293681,0.7364214913460524,0.631331274409989,0.0
2021-07-26,2235,"HALIBURTON, KAWARTHA, PINE RIDGE",407871.0,340002.0,0.0,0.0,501401,0.8134626775774281,0.678103952724466,0.0
2021-07-26,2236,HALTON REGION,1293520.0,1034567.0,0.0,0.0,1551078,0.8339490341556002,0.6669986938116588,0.0
2021-07-26,2237,CITY OF HAMILTON,1161190.0,966193.0,0.0,0.0,1521662,0.7631063928783133,0.63495901192249,0.0
2021-07-26,2238,HASTINGS & PRINCE EDWARD COUNTIES,338675.0,270867.0,0.0,0.0,438865,0.7717065612432069,0.6171989108267918,0.0
2021-07-26,2240,CHATHAM-KENT,205302.0,174929.0,0.0,0.0,272391,0.7537033161888609,0.6421981636691374,0.0
2021-07-26,2241,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",458794.0,388961.0,0.0,0.0,556895,0.8238429147325798,0.6984458470627317,0.0
2021-07-26,2242,LAMBTON COUNTY,254651.0,212149.0,0.0,0.0,338244,0.7528618393822211,0.6272069866723431,0.0
2021-07-26,2243,"LEEDS, GRENVILLE AND LANARK DISTRICT",400400.0,336428.0,0.0,0.0,452606,0.8846546444368832,0.7433131686279015,0.0
2021-07-26,2244,MIDDLESEX-LONDON,1065190.0,840981.0,0.0,0.0,1300847,0.8188434150980092,0.6464872502300424,0.0
